
4,2, g = 1, rhs = 1
4,3, g = 1, rhs = 1
4,4, g = 1, rhs = 1
4,5, g = 1, rhs = 1
4,6, g = 1, rhs = 1
4,6, g = 1, rhs = 1
4,6, g = 1e+06, rhs = 3
3,6, g = 1, rhs = 1
4,6, g = 1e+06, rhs = 4
4,6, g = 1, rhs = 1
4,6, g = 1, rhs = 1
4,6, g = 1e+06, rhs = 3
4,6, g = 1e+06, rhs = 3
4,6, g = 1, rhs = 1
4,5, g = 1e+06, rhs = 12.6569
4,6, g = 1e+06, rhs = 3
4,6, g = 1, rhs = 1
4,6, g = 1, rhs = 1
4,6, g = 1e+06, rhs = 3
4,6, g = 1e+06, rhs = 3
4,6, g = 1, rhs = 1
4,6, g = 1, rhs = 1
4,6, g = 1e+06, rhs = 3
4,6, g = 1e+06, rhs = 3
4,6, g = 1, rhs = 1
4,6, g = 1, rhs = 1
4,6, g = 1e+06, rhs = 3
4,6, g = 1e+06, rhs = 3
4,6, g = 1, rhs = 1
4,6, g = 1, rhs = 1
4,6, g = 1e+06, rhs = 3
4,6, g = 1e+06, rhs = 3
4,6, g = 1, rhs = 1
4,6, g = 1, rhs = 1
4,6, g = 1e+06, rhs = 3
4,6, g = 1e+06, rhs = 3
4,6, g = 1, rhs = 1
4,6, g = 1, rhs = 1
4,6, g = 1e+06, rhs = 3
4,6, g = 1e+06, rhs = 3
4,6, g = 1, rhs = 1
4,6, g = 1, rhs = 1
3,6, g = 1e+06, rhs = 18
4,6, g = 1e+06, rhs = 4
4,6, g = 1e+06, rhs = 3
4,6, g = 1, rhs = 1
4,6, g = 1, rhs = 1
4,6, g = 1e+06, rhs = 3
4,6, g = 1e+06, rhs = 3
2,6, g = 1, rhs = 1
4,6, g = 1, rhs = 1
4,6, g = 1, rhs = 1
4,6, g = 1e+06, rhs = 3
4,6, g = 1e+06, rhs = 3
4,6, g = 1, rhs = 1
4,6, g = 1, rhs = 1
4,6, g = 1e+06, rhs = 3
4,6, g = 1e+06, rhs = 3
4,6, g = 1, rhs = 1
4,6, g = 1, rhs = 1
4,6, g = 1e+06, rhs = 3
4,6, g = 1e+06, rhs = 3
4,6, g = 1, rhs = 1
4,6, g = 1, rhs = 1
4,6, g = 1e+06, rhs = 3
4,6, g = 1e+06, rhs = 3
4,6, g = 1, rhs = 1
4,6, g = 1, rhs = 1
2,6, g = 1e+06, rhs = 11
2,6, g = 11, rhs = 11
4,6, g = 1e+06, rhs = 5
4,6, g = 1e+06, rhs = 3
4,6, g = 1, rhs = 1
4,6, g = 1, rhs = 1
4,6, g = 1e+06, rhs = 3
4,6, g = 1e+06, rhs = 3
4,6, g = 1, rhs = 1
4,6, g = 1, rhs = 1
4,6, g = 1e+06, rhs = 3
4,6, g = 1e+06, rhs = 3
4,6, g = 1, rhs = 1
4,6, g = 1, rhs = 1
4,6, g = 1e+06, rhs = 3
4,6, g = 1e+06, rhs = 3
4,6, g = 1, rhs = 1
4,6, g = 1, rhs = 1
4,6, g = 1e+06, rhs = 3
4,6, g = 1e+06, rhs = 3
4,5, g = 1, rhs = 1
4,6, g = 1, rhs = 1
4,6, g = 1, rhs = 1
4,6, g = 1e+06, rhs = 3
4,6, g = 1e+06, rhs = 3
4,6, g = 1, rhs = 1
2,6, g = 1e+06, rhs = 23
4,6, g = 1, rhs = 1
4,6, g = 1e+06, rhs = 3
4,6, g = 1e+06, rhs = 3
4,6, g = 1, rhs = 1
4,6, g = 1, rhs = 1
4,6, g = 1e+06, rhs = 3
4,6, g = 1e+06, rhs = 3
4,6, g = 1, rhs = 1
4,6, g = 1, rhs = 1
4,6, g = 1e+06, rhs = 3
4,6, g = 1e+06, rhs = 3
4,6, g = 1, rhs = 1
4,6, g = 1, rhs = 1
4,6, g = 1e+06, rhs = 3
4,6, g = 1e+06, rhs = 3
4,6, g = 1, rhs = 1
2,6, g = 1, rhs = 1
4,6, g = 1, rhs = 1
4,6, g = 1e+06, rhs = 3
4,6, g = 1e+06, rhs = 3
4,6, g = 1, rhs = 1
4,6, g = 1, rhs = 1
4,6, g = 1e+06, rhs = 3
4,6, g = 1e+06, rhs = 3
4,6, g = 1, rhs = 1
4,6, g = 1, rhs = 1
4,6, g = 1e+06, rhs = 3
4,6, g = 1e+06, rhs = 3
4,6, g = 1, rhs = 1
4,6, g = 1, rhs = 1
4,6, g = 1e+06, rhs = 3
4,6, g = 1e+06, rhs = 3
4,6, g = 1, rhs = 1
4,6, g = 1, rhs = 1
4,6, g = 1e+06, rhs = 3
4,6, g = 1e+06, rhs = 3
4,6, g = 1, rhs = 1
4,6, g = 1, rhs = 1
4,6, g = 1e+06, rhs = 3
2,6, g = 1e+06, rhs = 13
4,6, g = 1e+06, rhs = 4
4,6, g = 1, rhs = 1
4,6, g = 1, rhs = 1
4,6, g = 1e+06, rhs = 3
4,6, g = 1e+06, rhs = 3
4,6, g = 1, rhs = 1
4,6, g = 1, rhs = 1
4,6, g = 1e+06, rhs = 3
2,6, g = 1, rhs = 1
4,6, g = 1e+06, rhs = 4
4,6, g = 1, rhs = 1
4,6, g = 1, rhs = 1
4,6, g = 1e+06, rhs = 3
4,6, g = 1e+06, rhs = 3
4,6, g = 1, rhs = 1
4,6, g = 1, rhs = 1
