Shortest Path 
 Pop : 45,126, g = 0, rhs = 0, h = 89
 Pop : 45,125, g = 1, rhs = 1, h = 88
 Pop : 45,124, g = 2, rhs = 2, h = 87
 Pop : 45,123, g = 3, rhs = 3, h = 86
 Pop : 46,124, g = 2.41421, rhs = 2.41421, h = 87
 Pop : 46,125, g = 1.41421, rhs = 1.41421, h = 88
 Pop : 46,122, g = 4.41421, rhs = 4.41421, h = 85
 Pop : 46,123, g = 3.41421, rhs = 3.41421, h = 86
 Pop : 46,121, g = 5.41421, rhs = 5.41421, h = 84
 Pop : 46,120, g = 6.41421, rhs = 6.41421, h = 83
 Pop : 46,119, g = 7.41421, rhs = 7.41421, h = 82
 Pop : 46,118, g = 8.41421, rhs = 8.41421, h = 81
 Pop : 46,117, g = 9.41421, rhs = 9.41421, h = 80
 Pop : 47,123, g = 3.82843, rhs = 3.82843, h = 86
 Pop : 45,121, g = 5.82843, rhs = 5.82843, h = 84
 Pop : 47,121, g = 5.82843, rhs = 5.82843, h = 84
 Pop : 47,120, g = 6.82843, rhs = 6.82843, h = 83
 Pop : 45,120, g = 6.82843, rhs = 6.82843, h = 83
 Pop : 47,119, g = 7.82843, rhs = 7.82843, h = 82
 Pop : 45,119, g = 7.82843, rhs = 7.82843, h = 82
 Pop : 45,118, g = 8.82843, rhs = 8.82843, h = 81
 Pop : 47,118, g = 8.82843, rhs = 8.82843, h = 81
 Pop : 47,117, g = 9.82843, rhs = 9.82843, h = 80
 Pop : 44,126, g = 1, rhs = 1, h = 89
 Pop : 46,126, g = 1, rhs = 1, h = 89
 Pop : 48,116, g = 11.2426, rhs = 11.2426, h = 79
 Pop : 48,115, g = 12.2426, rhs = 12.2426, h = 78
 Pop : 48,114, g = 13.2426, rhs = 13.2426, h = 77
 Pop : 48,113, g = 14.2426, rhs = 14.2426, h = 76
 Pop : 48,112, g = 15.2426, rhs = 15.2426, h = 75
 Pop : 48,122, g = 5.24264, rhs = 5.24264, h = 85
 Pop : 44,120, g = 7.24264, rhs = 7.24264, h = 83
 Pop : 44,119, g = 8.24264, rhs = 8.24264, h = 82
 Pop : 44,118, g = 9.24264, rhs = 9.24264, h = 81
 Pop : 48,117, g = 10.2426, rhs = 10.2426, h = 80
 Pop : 47,124, g = 3.41421, rhs = 3.41421, h = 87
 Pop : 47,122, g = 5.41421, rhs = 5.41421, h = 85
 Pop : 49,121, g = 6.65685, rhs = 6.65685, h = 84
 Pop : 49,120, g = 7.65685, rhs = 7.65685, h = 83
 Pop : 49,119, g = 8.65685, rhs = 8.65685, h = 82
 Pop : 49,115, g = 12.6569, rhs = 12.6569, h = 78
 Pop : 49,114, g = 13.6569, rhs = 13.6569, h = 77
 Pop : 49,113, g = 14.6569, rhs = 14.6569, h = 76
 Pop : 47,112, g = 15.6569, rhs = 15.6569, h = 75
 Pop : 49,112, g = 15.6569, rhs = 15.6569, h = 75
 Pop : 47,111, g = 16.6569, rhs = 16.6569, h = 74
 Pop : 49,111, g = 16.6569, rhs = 16.6569, h = 74
 Pop : 49,110, g = 17.6569, rhs = 17.6569, h = 73
 Pop : 47,110, g = 17.6569, rhs = 17.6569, h = 73
 Pop : 47,109, g = 18.6569, rhs = 18.6569, h = 72
 Pop : 49,109, g = 18.6569, rhs = 18.6569, h = 72
 Pop : 49,108, g = 19.6569, rhs = 19.6569, h = 71
 Pop : 47,108, g = 19.6569, rhs = 19.6569, h = 71
 Pop : 47,107, g = 20.6569, rhs = 20.6569, h = 70
 Pop : 49,107, g = 20.6569, rhs = 20.6569, h = 70
 Pop : 49,106, g = 21.6569, rhs = 21.6569, h = 69
 Pop : 47,106, g = 21.6569, rhs = 21.6569, h = 69
 Pop : 47,105, g = 22.6569, rhs = 22.6569, h = 68
 Pop : 49,105, g = 22.6569, rhs = 22.6569, h = 68
 Pop : 49,104, g = 23.6569, rhs = 23.6569, h = 67
 Pop : 47,104, g = 23.6569, rhs = 23.6569, h = 67
 Pop : 47,103, g = 24.6569, rhs = 24.6569, h = 66
 Pop : 49,103, g = 24.6569, rhs = 24.6569, h = 66
 Pop : 49,102, g = 25.6569, rhs = 25.6569, h = 65
 Pop : 47,102, g = 25.6569, rhs = 25.6569, h = 65
 Pop : 49,101, g = 26.6569, rhs = 26.6569, h = 64
 Pop : 49,100, g = 27.6569, rhs = 27.6569, h = 63
 Pop : 49,99, g = 28.6569, rhs = 28.6569, h = 62
 Pop : 49,98, g = 29.6569, rhs = 29.6569, h = 61
 Pop : 49,97, g = 30.6569, rhs = 30.6569, h = 60
 Pop : 48,123, g = 4.82843, rhs = 4.82843, h = 86
 Pop : 44,121, g = 6.82843, rhs = 6.82843, h = 84
 Pop : 43,126, g = 2, rhs = 2, h = 89
 Pop : 50,114, g = 14.0711, rhs = 14.0711, h = 77
 Pop : 50,113, g = 15.0711, rhs = 15.0711, h = 76
 Pop : 50,112, g = 16.0711, rhs = 16.0711, h = 75
 Pop : 46,106, g = 22.0711, rhs = 22.0711, h = 69
 Pop : 50,106, g = 22.0711, rhs = 22.0711, h = 69
 Pop : 48,106, g = 22.0711, rhs = 22.0711, h = 69
 Pop : 48,105, g = 23.0711, rhs = 23.0711, h = 68
 Pop : 50,105, g = 23.0711, rhs = 23.0711, h = 68
 Pop : 46,105, g = 23.0711, rhs = 23.0711, h = 68
 Pop : 46,104, g = 24.0711, rhs = 24.0711, h = 67
 Pop : 50,104, g = 24.0711, rhs = 24.0711, h = 67
 Pop : 48,104, g = 24.0711, rhs = 24.0711, h = 67
 Pop : 48,103, g = 25.0711, rhs = 25.0711, h = 66
 Pop : 46,103, g = 25.0711, rhs = 25.0711, h = 66
 Pop : 50,103, g = 25.0711, rhs = 25.0711, h = 66
 Pop : 46,102, g = 26.0711, rhs = 26.0711, h = 65
 Pop : 50,101, g = 27.0711, rhs = 27.0711, h = 64
 Pop : 46,101, g = 27.0711, rhs = 27.0711, h = 64
 Pop : 46,100, g = 28.0711, rhs = 28.0711, h = 63
 Pop : 50,100, g = 28.0711, rhs = 28.0711, h = 63
 Pop : 50,99, g = 29.0711, rhs = 29.0711, h = 62
 Pop : 46,99, g = 29.0711, rhs = 29.0711, h = 62
 Pop : 46,98, g = 30.0711, rhs = 30.0711, h = 61
 Pop : 50,98, g = 30.0711, rhs = 30.0711, h = 61
 Pop : 50,97, g = 31.0711, rhs = 31.0711, h = 60
 Pop : 46,97, g = 31.0711, rhs = 31.0711, h = 60
 Pop : 48,97, g = 31.0711, rhs = 31.0711, h = 60
 Pop : 50,96, g = 32.0711, rhs = 32.0711, h = 59
 Pop : 46,96, g = 32.0711, rhs = 32.0711, h = 59
 Pop : 48,96, g = 32.0711, rhs = 32.0711, h = 59
 Pop : 48,95, g = 33.0711, rhs = 33.0711, h = 58
 Pop : 50,95, g = 33.0711, rhs = 33.0711, h = 58
 Pop : 50,94, g = 34.0711, rhs = 34.0711, h = 57
 Pop : 50,93, g = 35.0711, rhs = 35.0711, h = 56
 Pop : 50,92, g = 36.0711, rhs = 36.0711, h = 55
 Pop : 49,116, g = 12.2426, rhs = 12.2426, h = 79
 Pop : 51,113, g = 15.4853, rhs = 15.4853, h = 76
 Pop : 49,122, g = 6.24264, rhs = 6.24264, h = 85
 Pop : 51,112, g = 16.4853, rhs = 16.4853, h = 75
 Pop : 51,111, g = 17.4853, rhs = 17.4853, h = 74
 Pop : 51,110, g = 18.4853, rhs = 18.4853, h = 73
 Pop : 51,109, g = 19.4853, rhs = 19.4853, h = 72
 Pop : 51,108, g = 20.4853, rhs = 20.4853, h = 71
 Pop : 45,105, g = 23.4853, rhs = 23.4853, h = 68
 Pop : 51,105, g = 23.4853, rhs = 23.4853, h = 68
 Pop : 45,104, g = 24.4853, rhs = 24.4853, h = 67
 Pop : 51,104, g = 24.4853, rhs = 24.4853, h = 67
 Pop : 51,103, g = 25.4853, rhs = 25.4853, h = 66
 Pop : 45,103, g = 25.4853, rhs = 25.4853, h = 66
 Pop : 51,102, g = 26.4853, rhs = 26.4853, h = 65
 Pop : 45,102, g = 26.4853, rhs = 26.4853, h = 65
 Pop : 45,101, g = 27.4853, rhs = 27.4853, h = 64
 Pop : 51,100, g = 28.4853, rhs = 28.4853, h = 63
 Pop : 45,100, g = 28.4853, rhs = 28.4853, h = 63
 Pop : 45,99, g = 29.4853, rhs = 29.4853, h = 62
 Pop : 51,99, g = 29.4853, rhs = 29.4853, h = 62
