Shortest Path 
 Pop : 4,8, g = 0, rhs = 0, h = 13
 Pop : 5,8, g = 1, rhs = 1, h = 12
 Pop : 3,8, g = 1, rhs = 1, h = 14
 Pop : 6,8, g = 2, rhs = 2, h = 11
 Pop : 7,8, g = 3, rhs = 3, h = 10
 Pop : 7,7, g = 3.41421, rhs = 3.41421, h = 10
 Pop : 7,9, g = 3.41421, rhs = 3.41421, h = 10
 Pop : 8,7, g = 4.41421, rhs = 4.41421, h = 9
 Pop : 8,9, g = 4.41421, rhs = 4.41421, h = 9
 Pop : 9,9, g = 5.41421, rhs = 5.41421, h = 8
 Pop : 9,7, g = 5.41421, rhs = 5.41421, h = 8
 Pop : 10,7, g = 6.41421, rhs = 6.41421, h = 7
 Pop : 10,9, g = 6.41421, rhs = 6.41421, h = 7
 Pop : 11,7, g = 7.41421, rhs = 7.41421, h = 6
 Pop : 12,7, g = 8.41421, rhs = 8.41421, h = 5
 Pop : 9,10, g = 5.82843, rhs = 5.82843, h = 8
 Pop : 10,10, g = 6.82843, rhs = 6.82843, h = 7
 Pop : 11,10, g = 7.82843, rhs = 7.82843, h = 6
 Pop : 12,6, g = 8.82843, rhs = 8.82843, h = 5
 Pop : 12,8, g = 8.82843, rhs = 8.82843, h = 5
 Pop : 7,6, g = 4.41421, rhs = 4.41421, h = 10
 Pop : 12,5, g = 9.82843, rhs = 9.82843, h = 5
 Pop : 9,11, g = 6.82843, rhs = 6.82843, h = 8
 Pop : 7,5, g = 5.41421, rhs = 5.41421, h = 10
 Pop : 9,12, g = 7.82843, rhs = 7.82843, h = 8
 Pop : 12,4, g = 10.8284, rhs = 10.8284, h = 5
 Pop : 10,13, g = 9.24264, rhs = 9.24264, h = 7
 Pop : 8,11, g = 7.24264, rhs = 7.24264, h = 9
 Pop : 11,14, g = 10.6569, rhs = 10.6569, h = 6
 Pop : 11,12, g = 10.6569, rhs = 10.6569, h = 6
 Pop : 6,5, g = 5.82843, rhs = 5.82843, h = 11
 Pop : 9,13, g = 8.82843, rhs = 8.82843, h = 8
 Pop : 12,3, g = 11.8284, rhs = 11.8284, h = 5
 Pop : 2,8, g = 2, rhs = 2, h = 15
 Pop : 12,13, g = 12.0711, rhs = 12.0711, h = 5
 Pop : 8,12, g = 8.24264, rhs = 8.24264, h = 9
 Pop : 11,4, g = 11.2426, rhs = 11.2426, h = 6
 Pop : 13,3, g = 12.2426, rhs = 12.2426, h = 5
 Pop : 2,9, g = 2.41421, rhs = 2.41421, h = 15
 Pop : 13,12, g = 13.4853, rhs = 13.4853, h = 4
 Pop : 3,10, g = 3.82843, rhs = 3.82843, h = 14
 Pop : 12,14, g = 11.6569, rhs = 11.6569, h = 6
 Pop : 14,11, g = 14.8995, rhs = 14.8995, h = 3
 Pop : 6,4, g = 6.82843, rhs = 6.82843, h = 11
 Pop : 13,13, g = 13.0711, rhs = 13.0711, h = 5
 Pop : 7,11, g = 8.24264, rhs = 8.24264, h = 10
 Pop : 11,3, g = 12.2426, rhs = 12.2426, h = 6
 Pop : 2,10, g = 3.41421, rhs = 3.41421, h = 15
 Pop : 14,12, g = 14.4853, rhs = 14.4853, h = 4
 Pop : 13,11, g = 14.4853, rhs = 14.4853, h = 4
 Pop : 9,14, g = 10.6569, rhs = 10.6569, h = 8
 Pop : 11,15, g = 11.6569, rhs = 11.6569, h = 7
 Pop : 7,12, g = 8.65685, rhs = 8.65685, h = 10
 Pop : 5,5, g = 6.82843, rhs = 6.82843, h = 12
 Pop : 6,3, g = 7.82843, rhs = 7.82843, h = 11
 Pop : 12,2, g = 12.8284, rhs = 12.8284, h = 6
 Pop : 15,11, g = 15.8995, rhs = 15.8995, h = 3
 Pop : 14,10, g = 15.8995, rhs = 15.8995, h = 3
 Pop : 10,15, g = 12.0711, rhs = 12.0711, h = 7
 Pop : 1,8, g = 3, rhs = 3, h = 16
 Pop : 12,15, g = 12.0711, rhs = 12.0711, h = 7
 Pop : 10,4, g = 12.2426, rhs = 12.2426, h = 7
 Pop : 11,2, g = 13.2426, rhs = 13.2426, h = 6
 Pop : 16,10, g = 17.3137, rhs = 17.3137, h = 2
 Pop : 1,7, g = 3.41421, rhs = 3.41421, h = 16
 Pop : 1,9, g = 3.41421, rhs = 3.41421, h = 16
 Pop : 13,14, g = 13.4853, rhs = 13.4853, h = 6
 Pop : 7,13, g = 9.65685, rhs = 9.65685, h = 10
 Pop : 10,5, g = 12.6569, rhs = 12.6569, h = 7
 Pop : 10,3, g = 12.6569, rhs = 12.6569, h = 7
 Pop : 14,13, g = 14.8995, rhs = 14.8995, h = 5
 Pop : 14,9, g = 16.8995, rhs = 16.8995, h = 3
 Pop : 16,11, g = 16.8995, rhs = 16.8995, h = 3
 Pop : 13,15, g = 13.0711, rhs = 13.0711, h = 7
 Pop : 2,11, g = 5.24264, rhs = 5.24264, h = 15
 Pop : 6,11, g = 9.24264, rhs = 9.24264, h = 11
 Pop : 15,8, g = 18.3137, rhs = 18.3137, h = 2
 Pop : 15,12, g = 16.3137, rhs = 16.3137, h = 4
 Pop : 17,10, g = 18.3137, rhs = 18.3137, h = 2
 Pop : 1,6, g = 4.41421, rhs = 4.41421, h = 16
 Pop : 14,14, g = 14.4853, rhs = 14.4853, h = 6
 Pop : 7,14, g = 10.6569, rhs = 10.6569, h = 10
 Pop : 3,12, g = 6.65685, rhs = 6.65685, h = 14
 Pop : 6,12, g = 9.65685, rhs = 9.65685, h = 11
 Pop : 2,5, g = 5.82843, rhs = 5.82843, h = 15
 Pop : 16,7, g = 19.7279, rhs = 19.7279, h = 1
 Pop : 3,5, g = 6.82843, rhs = 6.82843, h = 14
 Pop : 15,13, g = 15.8995, rhs = 15.8995, h = 5
 Pop : 4,13, g = 8.07107, rhs = 8.07107, h = 13
 Pop : 17,8, g = 1e+06, rhs = 21.1421, h = 0
