
 Pop : 4,1, g = 1e+06, rhs = 0, h = 9.84886 key :9.84886,0
 Pop : 4,2, g = 1, rhs = 1, h = 9.79796 key :10.798,1
 Pop : 5,1, g = 1, rhs = 1, h = 9.84886 key :10.8489,1
 Pop : 5,2, g = 1.41421, rhs = 1.41421, h = 9.79796 key :11.2122,1.41421
 Pop : 3,2, g = 1.41421, rhs = 1.41421, h = 9.79796 key :11.2122,1.41421
 Pop : 6,1, g = 2, rhs = 2, h = 9.84886 key :11.8489,2
 Pop : 4,3, g = 2, rhs = 2, h = 9.94987 key :11.9499,2
 Pop : 2,2, g = 2.41421, rhs = 2.41421, h = 9.79796 key :12.2122,2.41421
 Pop : 6,2, g = 2.41421, rhs = 2.41421, h = 9.79796 key :12.2122,2.41421
 Pop : 3,3, g = 2.41421, rhs = 2.41421, h = 9.94987 key :12.3641,2.41421
 Pop : 5,3, g = 2.41421, rhs = 2.41421, h = 9.94987 key :12.3641,2.41421
 Pop : 2,3, g = 2.82843, rhs = 2.82843, h = 9.94987 key :12.7783,2.82843
 Pop : 6,3, g = 2.82843, rhs = 2.82843, h = 9.94987 key :12.7783,2.82843
 Pop : 4,4, g = 3, rhs = 3, h = 9.89949 key :12.8995,3
 Pop : 7,2, g = 3.41421, rhs = 3.41421, h = 9.79796 key :13.2122,3.41421
 Pop : 1,2, g = 3.41421, rhs = 3.41421, h = 9.79796 key :13.2122,3.41421
 Pop : 5,4, g = 3.41421, rhs = 3.41421, h = 9.89949 key :13.3137,3.41421
 Pop : 3,4, g = 3.41421, rhs = 3.41421, h = 9.89949 key :13.3137,3.41421
 Pop : 2,4, g = 3.82843, rhs = 3.82843, h = 9.89949 key :13.7279,3.82843
 Pop : 4,5, g = 4, rhs = 4, h = 9.64365 key :13.6437,4
 Pop : 6,4, g = 3.82843, rhs = 3.82843, h = 9.89949 key :13.7279,3.82843
 Pop : 7,3, g = 3.82843, rhs = 3.82843, h = 9.94987 key :13.7783,3.82843
 Pop : 1,3, g = 3.82843, rhs = 3.82843, h = 9.94987 key :13.7783,3.82843
 Pop : 3,5, g = 4.41421, rhs = 4.41421, h = 9.64365 key :14.0579,4.41421
 Pop : 5,5, g = 4.41421, rhs = 4.41421, h = 9.64365 key :14.0579,4.41421
 Pop : 1,4, g = 4.24264, rhs = 4.24264, h = 9.89949 key :14.1421,4.24264
 Pop : 7,4, g = 4.24264, rhs = 4.24264, h = 9.89949 key :14.1421,4.24264
 Pop : 6,5, g = 4.82843, rhs = 4.82843, h = 9.64365 key :14.4721,4.82843
 Pop : 8,2, g = 4.41421, rhs = 4.41421, h = 9.79796 key :14.2122,4.41421
 Pop : 2,5, g = 4.82843, rhs = 4.82843, h = 9.64365 key :14.4721,4.82843
 Pop : 4,6, g = 5, rhs = 5, h = 9.59166 key :14.5917,5
 Pop : 8,1, g = 4.82843, rhs = 4.82843, h = 9.84886 key :14.6773,4.82843
 Pop : 8,3, g = 4.82843, rhs = 4.82843, h = 9.94987 key :14.7783,4.82843
 Pop : 7,5, g = 5.24264, rhs = 5.24264, h = 9.64365 key :14.8863,5.24264
 Pop : 1,5, g = 5.24264, rhs = 5.24264, h = 9.69536 key :14.938,5.24264
 Pop : 5,6, g = 5.41421, rhs = 5.41421, h = 9.59166 key :15.0059,5.41421
 Pop : 3,6, g = 5.41421, rhs = 5.41421, h = 9.59166 key :15.0059,5.41421
 Pop : 8,4, g = 5.24264, rhs = 5.24264, h = 9.89949 key :15.1421,5.24264
 Pop : 9,2, g = 5.41421, rhs = 5.41421, h = 9.79796 key :15.2122,5.41421
 Pop : 8,5, g = 5.65685, rhs = 5.65685, h = 9.64365 key :15.3005,5.65685
 Pop : 2,6, g = 5.82843, rhs = 5.82843, h = 9.59166 key :15.4201,5.82843
 Pop : 6,6, g = 5.82843, rhs = 5.82843, h = 9.59166 key :15.4201,5.82843
 Pop : 9,1, g = 5.82843, rhs = 5.82843, h = 9.84886 key :15.6773,5.82843
 Pop : 4,7, g = 6, rhs = 6, h = 9.74679 key :15.7468,6
 Pop : 9,3, g = 5.82843, rhs = 5.82843, h = 9.94987 key :15.7783,5.82843
 Pop : 7,6, g = 6.24264, rhs = 6.24264, h = 9.59166 key :15.8343,6.24264
 Pop : 1,6, g = 6.24264, rhs = 6.24264, h = 9.69536 key :15.938,6.24264
 Pop : 9,4, g = 6.24264, rhs = 6.24264, h = 9.89949 key :16.1421,6.24264
 Pop : 5,7, g = 6.41421, rhs = 6.41421, h = 9.74679 key :16.161,6.41421
 Pop : 3,7, g = 6.41421, rhs = 6.41421, h = 9.74679 key :16.161,6.41421
 Pop : 10,2, g = 6.41421, rhs = 6.41421, h = 9.79796 key :16.2122,6.41421
 Pop : 8,6, g = 6.65685, rhs = 6.65685, h = 9.59166 key :16.2485,6.65685
 Pop : 9,5, g = 6.65685, rhs = 6.65685, h = 9.64365 key :16.3005,6.65685
 Pop : 6,7, g = 6.82843, rhs = 6.82843, h = 9.74679 key :16.5752,6.82843
 Pop : 2,7, g = 6.82843, rhs = 6.82843, h = 9.74679 key :16.5752,6.82843
 Pop : 9,6, g = 7.07107, rhs = 7.07107, h = 9.59166 key :16.6627,7.07107
 Pop : 10,1, g = 6.82843, rhs = 6.82843, h = 9.84886 key :16.6773,6.82843
 Pop : 4,8, g = 7, rhs = 7, h = 9.69536 key :16.6954,7
 Pop : 10,3, g = 6.82843, rhs = 6.82843, h = 9.94987 key :16.7783,6.82843
 Pop : 1,7, g = 7.24264, rhs = 7.24264, h = 9.74679 key :16.9894,7.24264
 Pop : 7,7, g = 7.24264, rhs = 7.24264, h = 9.74679 key :16.9894,7.24264
 Pop : 3,8, g = 7.41421, rhs = 7.41421, h = 9.69536 key :17.1096,7.41421
 Pop : 10,4, g = 7.24264, rhs = 7.24264, h = 9.89949 key :17.1421,7.24264
 Pop : 11,2, g = 7.41421, rhs = 7.41421, h = 9.79796 key :17.2122,7.41421
 Pop : 10,5, g = 7.65685, rhs = 7.65685, h = 9.64365 key :17.3005,7.65685
 Pop : 8,7, g = 7.65685, rhs = 7.65685, h = 9.74679 key :17.4036,7.65685
 Pop : 4,9, g = 8, rhs = 8, h = 9.53939 key :17.5394,8
 Pop : 10,6, g = 8.07107, rhs = 8.07107, h = 9.59166 key :17.6627,8.07107
 Pop : 11,3, g = 7.82843, rhs = 7.82843, h = 9.94987 key :17.7783,7.82843
 Pop : 9,7, g = 8.07107, rhs = 8.07107, h = 9.74679 key :17.8179,8.07107
 Pop : 3,9, g = 8.41421, rhs = 8.41421, h = 9.43398 key :17.8482,8.41421
 Pop : 5,9, g = 8.41421, rhs = 8.41421, h = 9.48683 key :17.901,8.41421
 Pop : 1,8, g = 8.24264, rhs = 8.24264, h = 9.69536 key :17.938,8.24264
 Pop : 12,2, g = 8.41421, rhs = 8.41421, h = 9.79796 key :18.2122,8.41421
 Pop : 11,4, g = 8.24264, rhs = 8.24264, h = 9.89949 key :18.1421,8.24264
 Pop : 10,7, g = 8.48528, rhs = 8.48528, h = 9.74679 key :18.2321,8.48528
 Pop : 2,9, g = 8.82843, rhs = 8.82843, h = 9.43398 key :18.2624,8.82843
 Pop : 11,5, g = 8.65685, rhs = 8.65685, h = 9.64365 key :18.3005,8.65685
 Pop : 4,10, g = 9, rhs = 9, h = 9.53939 key :18.5394,9
 Pop : 8,8, g = 8.65685, rhs = 8.65685, h = 9.69536 key :18.3522,8.65685
 Pop : 11,6, g = 9.07107, rhs = 9.07107, h = 9.59166 key :18.6627,9.07107
 Pop : 12,1, g = 8.82843, rhs = 8.82843, h = 9.84886 key :18.6773,8.82843
 Pop : 12,3, g = 8.82843, rhs = 8.82843, h = 9.94987 key :18.7783,8.82843
 Pop : 6,9, g = 9.41421, rhs = 9.41421, h = 9.43398 key :18.8482,9.41421
 Pop : 3,10, g = 9.41421, rhs = 9.41421, h = 9.38083 key :18.795,9.41421
 Pop : 5,10, g = 9.41421, rhs = 9.41421, h = 9.48683 key :18.901,9.41421
 Pop : 1,9, g = 9.24264, rhs = 9.24264, h = 9.69536 key :18.938,9.24264
 Pop : 8,9, g = 9.65685, rhs = 9.65685, h = 9.43398 key :19.0908,9.65685
 Pop : 12,4, g = 9.24264, rhs = 9.24264, h = 9.89949 key :19.1421,9.24264
 Pop : 6,10, g = 9.82843, rhs = 9.82843, h = 9.38083 key :19.2093,9.82843
 Pop : 10,8, g = 9.48528, rhs = 9.48528, h = 9.69536 key :19.1806,9.48528
 Pop : 13,2, g = 9.41421, rhs = 9.41421, h = 9.79796 key :19.2122,9.41421
 Pop : 9,9, g = 10.0711, rhs = 10.0711, h = 9.43398 key :19.505,10.0711
 Pop : 11,7, g = 9.48528, rhs = 9.48528, h = 9.74679 key :19.2321,9.48528
 Pop : 2,10, g = 9.82843, rhs = 9.82843, h = 9.43398 key :19.2624,9.82843
 Pop : 12,5, g = 9.65685, rhs = 9.65685, h = 9.64365 key :19.3005,9.65685
 Pop : 7,9, g = 10.0711, rhs = 10.0711, h = 9.43398 key :19.505,10.0711
 Pop : 4,11, g = 10, rhs = 10, h = 9.53939 key :19.5394,10
 Pop : 11,8, g = 9.89949, rhs = 9.89949, h = 9.69536 key :19.5949,9.89949
 Pop : 13,3, g = 9.82843, rhs = 9.82843, h = 9.94987 key :19.7783,9.82843
 Pop : 12,6, g = 10.0711, rhs = 10.0711, h = 9.59166 key :19.6627,10.0711
 Pop : 10,9, g = 10.4853, rhs = 10.4853, h = 9.43398 key :19.9193,10.4853
 Pop : 1,10, g = 10.2426, rhs = 10.2426, h = 9.69536 key :19.938,10.2426
 Pop : 5,11, g = 10.4142, rhs = 10.4142, h = 9.53939 key :19.9536,10.4142
 Pop : 3,11, g = 10.4142, rhs = 10.4142, h = 9.53939 key :19.9536,10.4142
 Pop : 13,4, g = 10.2426, rhs = 10.2426, h = 9.89949 key :20.1421,10.2426
 Pop : 8,10, g = 10.6569, rhs = 10.6569, h = 9.38083 key :20.0377,10.6569
 Pop : 7,10, g = 10.8284, rhs = 10.8284, h = 9.38083 key :20.2093,10.8284
 Pop : 14,2, g = 10.4142, rhs = 10.4142, h = 9.79796 key :20.2122,10.4142
 Pop : 12,7, g = 10.4853, rhs = 10.4853, h = 9.74679 key :20.2321,10.4853
 Pop : 13,5, g = 10.6569, rhs = 10.6569, h = 9.64365 key :20.3005,10.6569
 Pop : 2,11, g = 10.8284, rhs = 10.8284, h = 9.53939 key :20.3678,10.8284
 Pop : 11,9, g = 10.8995, rhs = 10.8995, h = 9.43398 key :20.3335,10.8995
 Pop : 9,10, g = 11.0711, rhs = 11.0711, h = 9.38083 key :20.4519,11.0711
 Pop : 6,11, g = 10.8284, rhs = 10.8284, h = 9.53939 key :20.3678,10.8284
 Pop : 4,12, g = 11, rhs = 11, h = 9.53939 key :20.5394,11
 Pop : 13,6, g = 11.0711, rhs = 11.0711, h = 9.59166 key :20.6627,11.0711
