
 Pop : 4,8, g = 1e+06, rhs = 0, h = 3.87298 key :3.87298,0
 Pop : 3,8, g = 1, rhs = 1, h = 3.4641 key :4.4641,1
 Pop : 5,8, g = 1, rhs = 1, h = 3.74166 key :4.74166,1
 Pop : 6,8, g = 2, rhs = 2, h = 3 key :5,2
 Pop : 2,8, g = 2, rhs = 2, h = 3.60555 key :5.60555,2
 Pop : 7,8, g = 3, rhs = 3, h = 2.82843 key :5.82843,3
 Pop : 2,9, g = 2.41421, rhs = 2.41421, h = 3.60555 key :6.01976,2.41421
 Pop : 7,7, g = 3.41421, rhs = 3.41421, h = 2.82843 key :6.24264,3.41421
 Pop : 7,9, g = 3.41421, rhs = 3.41421, h = 2.82843 key :6.24264,3.41421
 Pop : 2,10, g = 3.41421, rhs = 3.41421, h = 3.60555 key :7.01976,3.41421
 Pop : 1,8, g = 3, rhs = 3, h = 4.24264 key :7.24264,3
 Pop : 7,6, g = 4.41421, rhs = 4.41421, h = 2.82843 key :7.24264,4.41421
 Pop : 3,10, g = 3.82843, rhs = 3.82843, h = 3.4641 key :7.29253,3.82843
 Pop : 1,9, g = 3.41421, rhs = 3.41421, h = 4.24264 key :7.65685,3.41421
 Pop : 1,7, g = 3.41421, rhs = 3.41421, h = 4.24264 key :7.65685,3.41421
 Pop : 8,9, g = 4.41421, rhs = 4.41421, h = 3.31662 key :7.73084,4.41421
 Pop : 8,7, g = 4.41421, rhs = 4.41421, h = 3.31662 key :7.73084,4.41421
 Pop : 2,11, g = 4.41421, rhs = 4.41421, h = 3.60555 key :8.01976,4.41421
 Pop : 8,10, g = 4.82843, rhs = 4.82843, h = 3.31662 key :8.14505,4.82843
 Pop : 7,5, g = 5.41421, rhs = 5.41421, h = 2.82843 key :8.24264,5.41421
 Pop : 9,7, g = 5.41421, rhs = 5.41421, h = 3.16228 key :8.57649,5.41421
 Pop : 9,9, g = 5.41421, rhs = 5.41421, h = 3.16228 key :8.57649,5.41421
 Pop : 10,9, g = 6.41421, rhs = 6.41421, h = 2.23607 key :8.65028,6.41421
 Pop : 10,7, g = 6.41421, rhs = 6.41421, h = 2.23607 key :8.65028,6.41421
 Pop : 6,5, g = 5.82843, rhs = 5.82843, h = 3 key :8.82843,5.82843
 Pop : 1,6, g = 4.41421, rhs = 4.41421, h = 4.24264 key :8.65685,4.41421
 Pop : 9,10, g = 5.82843, rhs = 5.82843, h = 3.16228 key :8.9907,5.82843
 Pop : 2,12, g = 5.41421, rhs = 5.41421, h = 3.60555 key :9.01976,5.41421
 Pop : 10,10, g = 6.82843, rhs = 6.82843, h = 2.23607 key :9.0645,6.82843
 Pop : 7,11, g = 6.24264, rhs = 6.24264, h = 2.82843 key :9.07107,6.24264
 Pop : 8,11, g = 5.82843, rhs = 5.82843, h = 3.31662 key :9.14505,5.82843
 Pop : 3,12, g = 5.82843, rhs = 5.82843, h = 3.4641 key :9.29253,5.82843
 Pop : 9,11, g = 6.24264, rhs = 6.24264, h = 3.16228 key :9.40492,6.24264
 Pop : 11,7, g = 7.41421, rhs = 7.41421, h = 2 key :9.41421,7.41421
 Pop : 2,5, g = 5.82843, rhs = 5.82843, h = 3.60555 key :9.43398,5.82843
 Pop : 10,11, g = 7.24264, rhs = 7.24264, h = 2.23607 key :9.47871,7.24264
 Pop : 1,5, g = 5.41421, rhs = 5.41421, h = 4.24264 key :9.65685,5.41421
 Pop : 6,4, g = 6.82843, rhs = 6.82843, h = 3 key :9.82843,6.82843
 Pop : 11,10, g = 7.82843, rhs = 7.82843, h = 2 key :9.82843,7.82843
 Pop : 10,12, g = 7.65685, rhs = 7.65685, h = 2.23607 key :9.89292,7.65685
 Pop : 2,13, g = 6.41421, rhs = 6.41421, h = 3.60555 key :10.0198,6.41421
 Pop : 1,12, g = 5.82843, rhs = 5.82843, h = 4.24264 key :10.0711,5.82843
 Pop : 7,12, g = 7.24264, rhs = 7.24264, h = 2.82843 key :10.0711,7.24264
 Pop : 6,11, g = 7.24264, rhs = 7.24264, h = 3 key :10.2426,7.24264
 Pop : 3,13, g = 6.82843, rhs = 6.82843, h = 3.4641 key :10.2925,6.82843
 Pop : 3,5, g = 6.82843, rhs = 6.82843, h = 3.4641 key :10.2925,6.82843
 Pop : 9,12, g = 7.24264, rhs = 7.24264, h = 3.16228 key :10.4049,7.24264
 Pop : 2,4, g = 6.82843, rhs = 6.82843, h = 3.60555 key :10.434,6.82843
 Pop : 5,5, g = 6.82843, rhs = 6.82843, h = 3.74166 key :10.5701,6.82843
 Pop : 6,12, g = 7.65685, rhs = 7.65685, h = 3 key :10.6569,7.65685
 Pop : 11,12, g = 8.65685, rhs = 8.65685, h = 2 key :10.6569,8.65685
 Pop : 3,4, g = 7.24264, rhs = 7.24264, h = 3.4641 key :10.7067,7.24264
 Pop : 6,3, g = 7.82843, rhs = 7.82843, h = 3 key :10.8284,7.82843
 Pop : 10,13, g = 8.65685, rhs = 8.65685, h = 2.23607 key :10.8929,8.65685
 Pop : 8,12, g = 7.65685, rhs = 7.65685, h = 3.31662 key :10.9735,7.65685
 Pop : 2,14, g = 7.41421, rhs = 7.41421, h = 3.60555 key :11.0198,7.41421
 Pop : 12,7, g = 8.41421, rhs = 8.41421, h = 2.64575 key :11.06,8.41421
 Pop : 7,13, g = 8.24264, rhs = 8.24264, h = 2.82843 key :11.0711,8.24264
 Pop : 4,13, g = 7.24264, rhs = 7.24264, h = 3.87298 key :11.1156,7.24264
 Pop : 3,14, g = 7.82843, rhs = 7.82843, h = 3.4641 key :11.2925,7.82843
 Pop : 2,3, g = 7.82843, rhs = 7.82843, h = 3.60555 key :11.434,7.82843
 Pop : 12,8, g = 8.82843, rhs = 8.82843, h = 2.64575 key :11.4742,8.82843
 Pop : 12,6, g = 8.82843, rhs = 8.82843, h = 2.64575 key :11.4742,8.82843
 Pop : 1,4, g = 7.24264, rhs = 7.24264, h = 4.24264 key :11.4853,7.24264
 Pop : 3,3, g = 8.24264, rhs = 8.24264, h = 3.4641 key :11.7067,8.24264
 Pop : 5,11, g = 8.24264, rhs = 8.24264, h = 3.74166 key :11.9843,8.24264
 Pop : 2,15, g = 8.41421, rhs = 8.41421, h = 3.60555 key :12.0198,8.41421
 Pop : 1,14, g = 7.82843, rhs = 7.82843, h = 4.24264 key :12.0711,7.82843
 Pop : 7,14, g = 9.24264, rhs = 9.24264, h = 2.82843 key :12.0711,9.24264
 Pop : 11,14, g = 10.0711, rhs = 10.0711, h = 2 key :12.0711,10.0711
 Pop : 4,14, g = 8.24264, rhs = 8.24264, h = 3.87298 key :12.1156,8.24264
 Pop : 4,4, g = 8.24264, rhs = 8.24264, h = 3.87298 key :12.1156,8.24264
 Pop : 9,13, g = 9.07107, rhs = 9.07107, h = 3.16228 key :12.2333,9.07107
 Pop : 13,8, g = 9.82843, rhs = 9.82843, h = 2.44949 key :12.2779,9.82843
 Pop : 14,8, g = 10.8284, rhs = 10.8284, h = 1.41421 key :12.2426,10.8284
 Pop : 14,9, g = 11.2426, rhs = 11.2426, h = 1 key :12.2426,11.2426
 Pop : 3,15, g = 8.82843, rhs = 8.82843, h = 3.4641 key :12.2925,8.82843
 Pop : 12,12, g = 9.65685, rhs = 9.65685, h = 2.64575 key :12.3026,9.65685
 Pop : 5,12, g = 8.65685, rhs = 8.65685, h = 3.74166 key :12.3985,8.65685
 Pop : 2,2, g = 8.82843, rhs = 8.82843, h = 3.60555 key :12.434,8.82843
 Pop : 12,5, g = 9.82843, rhs = 9.82843, h = 2.64575 key :12.4742,9.82843
 Pop : 4,3, g = 8.65685, rhs = 8.65685, h = 3.87298 key :12.5298,8.65685
 Pop : 12,13, g = 10.0711, rhs = 10.0711, h = 2.64575 key :12.7168,10.0711
 Pop : 5,13, g = 9.07107, rhs = 9.07107, h = 3.74166 key :12.8127,9.07107
 Pop : 7,15, g = 10.2426, rhs = 10.2426, h = 2.82843 key :13.0711,10.2426
 Pop : 11,15, g = 11.0711, rhs = 11.0711, h = 2 key :13.0711,11.0711
 Pop : 13,12, g = 10.6569, rhs = 10.6569, h = 2.44949 key :13.1063,10.6569
 Pop : 14,12, g = 11.6569, rhs = 11.6569, h = 1 key :12.6569,11.6569
 Pop : 15,12, g = 12.6569, rhs = 12.6569, h = 0 key :12.6569,12.6569
 Pop : 14,11, g = 12.0711, rhs = 12.0711, h = 1 key :13.0711,12.0711
 Pop : 14,13, g = 12.0711, rhs = 12.0711, h = 1 key :13.0711,12.0711
 Pop : 15,11, g = 13.0711, rhs = 13.0711, h = 0 key :13.0711,13.0711
 Pop : 9,14, g = 10.0711, rhs = 10.0711, h = 3.16228 key :13.2333,10.0711
 Pop : 15,13, g = 13.0711, rhs = 13.0711, h = 0 key :13.0711,13.0711
 Pop : 15,8, g = 11.8284, rhs = 11.8284, h = 1.41421 key :13.2426,11.8284
 Pop : 14,10, g = 12.2426, rhs = 12.2426, h = 1 key :13.2426,12.2426
 Pop : 5,15, g = 9.65685, rhs = 9.65685, h = 3.74166 key :13.3985,9.65685
 Pop : 12,4, g = 10.8284, rhs = 10.8284, h = 2.64575 key :13.4742,10.8284
 Pop : 1,2, g = 9.24264, rhs = 9.24264, h = 4.24264 key :13.4853,9.24264
 Pop : 15,14, g = 13.4853, rhs = 13.4853, h = 0 key :13.4853,13.4853
 Pop : 13,13, g = 11.0711, rhs = 11.0711, h = 2.44949 key :13.5206,11.0711
 Pop : 13,11, g = 11.0711, rhs = 11.0711, h = 2.44949 key :13.5206,11.0711
 Pop : 4,2, g = 9.65685, rhs = 9.65685, h = 3.87298 key :13.5298,9.65685
 Pop : 11,4, g = 11.2426, rhs = 11.2426, h = 2.44949 key :13.6921,11.2426
 Pop : 3,1, g = 10.2426, rhs = 10.2426, h = 3.4641 key :13.7067,10.2426
 Pop : 12,14, g = 11.0711, rhs = 11.0711, h = 2.64575 key :13.7168,11.0711
 Pop : 10,15, g = 11.4853, rhs = 11.4853, h = 2.23607 key :13.7213,11.4853
 Pop : 13,14, g = 11.4853, rhs = 11.4853, h = 2.44949 key :13.9348,11.4853
 Pop : 14,14, g = 13.0711, rhs = 13.0711, h = 1 key :14.0711,13.0711
 Pop : 12,15, g = 11.4853, rhs = 11.4853, h = 2.64575 key :14.131,11.4853
 Pop : 12,3, g = 11.8284, rhs = 11.8284, h = 2.64575 key :14.4742,11.8284
 Pop : 4,1, g = 10.6569, rhs = 10.6569, h = 3.87298 key :14.5298,10.6569
 Pop : 16,8, g = 12.8284, rhs = 12.8284, h = 1.73205 key :14.5605,12.8284
 Pop : 10,4, g = 12.2426, rhs = 12.2426, h = 2.44949 key :14.6921,12.2426
 Pop : 11,3, g = 12.2426, rhs = 12.2426, h = 2.64575 key :14.8884,12.2426
 Pop : 13,3, g = 12.2426, rhs = 12.2426, h = 2.64575 key :14.8884,12.2426
 Pop : 10,5, g = 12.6569, rhs = 12.6569, h = 2.23607 key :14.8929,12.6569
 Pop : 13,15, g = 12.4853, rhs = 12.4853, h = 2.44949 key :14.9348,12.4853
 Pop : 16,7, g = 13.2426, rhs = 13.2426, h = 1.73205 key :14.9747,13.2426
 Pop : 15,6, g = 14.6569, rhs = 14.6569, h = 0 key :14.6569,14.6569
 Pop : 17,8, g = 13.8284, rhs = 13.8284, h = 1.41421 key :15.2426,13.8284
